0 835 582.5 1 835 272 0 835 2205.5 1 835 1697 1 835 1004 0 835 1300.5 0 835 1571.5
0 31 64.5 1 31 98.2 1 31 236.5 0 31 99 1 31 91 1 31 188.5 0 31 92.7
0 92 223 0 92 136.4 1 92 376 1 92 377 1 92 227 1 92 196 1 92 194.4
1 481 261.5 1 481 103.2 1 481 1277.5 1 481 1078 0 481 610 1 481 878.5 0 481 867.7
0 877 452.5 0 877 198.4 1 877 2276.5 1 877 1844 0 877 899 0 877 1493.5 0 877 1663.9
1 484 279 0 484 160.8 1 484 1378 0 484 1104 1 484 678 0 484 756 0 484 965.8
1 458 372 1 458 127.6 0 458 1152 1 458 960 0 458 532 0 458 758 1 458 860.6
0 135 194.5 1 135 117 1 135 516.5 0 135 382 1 135 161 1 135 356.5 1 135 233.5
0 630 486 1 630 173 0 630 1633 1 630 1389 1 630 681 0 630 987 0 630 1228
1 464 309 1 464 191.8 1 464 1345 1 464 1002 0 464 589 1 464 796 1 464 883.8
0 432 360 0 432 124.4 1 432 1256 1 432 892 1 432 612 0 432 762 1 432 844.4
0 495 271.5 0 495 230 0 495 1344.5 1 495 1165 1 495 499 0 495 782.5 0 495 1025.5
1 242 267 1 242 177.4 1 242 741 1 242 619 1 242 251 1 242 550 1 242 483.4
1 586 417 0 586 170.2 1 586 1469 1 586 1252 0 586 661 1 586 1040 1 586 1067.2
1 541 435.5 1 541 252.2 0 541 1459.5 1 541 1235 1 541 674 0 541 932.5 0 541 989.7
0 849 597.5 0 849 236.8 0 849 2123.5 0 849 1728 1 849 1018 1 849 1384.5 0 849 1488.3
1 35 213.5 1 35 58 0 35 209.5 0 35 253 0 35 43 1 35 81.5 1 35 124.5
1 742 486 0 742 210.4 0 742 1992 1 742 1618 1 742 864 0 742 1177 0 742 1300.4
1 420 297 1 420 214 0 420 1206 1 420 1030 0 420 617 0 420 646 0 420 885
0 598 442 1 598 120.6 1 598 1589 1 598 1340 1 598 733 1 598 995 1 598 1183.6
1 935 596.5 0 935 302 0 935 2425.5 0 935 1915 0 935 977 0 935 1589.5 1 935 1593.5
1 37 28.5 0 37 62.4 1 37 212.5 0 37 127 0 37 159 1 37 244.5 1 37 213.9
1 823 548.5 1 823 361.6 0 823 2112.5 0 823 1720 0 823 977 1 823 1293.5 0 823 1437.1
0 164 217 0 164 190.8 1 164 461 0 164 392 1 164 283 1 164 394 1 164 470.8
0 872 596 0 872 230.4 0 872 2243 0 872 1753 1 872 977 0 872 1375 1 872 1599.4
0 702 503 1 702 167.4 0 702 1886 0 702 1584 1 702 770 1 702 1162 1 702 1375.4
0 698 540 1 698 187.6 0 698 1759 0 698 1521 0 698 713 0 698 1131 1 698 1329.6
1 912 588 0 912 281.4 0 912 2358 1 912 1828 0 912 1061 0 912 1456 1 912 1667.4
1 728 493 0 728 344.6 0 728 1903 1 728 1542 0 728 785 1 728 1158 1 728 1402.6
0 299 275.5 0 299 175.8 1 299 766.5 0 299 732 1 299 308 1 299 503.5 0 299 681.3
