977 822 1
730 84 1
980 741 1
481 149 1
514 767 1
876 931 1
870 928 1
775 653 1
98 9 0
245 182 0
909 16 1
518 504 1
388 776 1
724 594 1
882 789 1
305 459 0
580 217 1
477 364 1
590 213 1
391 968 1
221 154 0
114 38 0
992 540 1
320 166 0
389 202 1
815 837 1
767 453 1
925 842 1
299 207 0
200 345 0
510 984 1
147 436 0
462 706 1
368 215 1
911 195 1
996 970 1
918 133 1
847 793 1
242 647 0
993 681 1
914 792 1
175 331 0
399 476 1
583 67 1
629 172 1
426 776 1
570 524 1
340 984 1
199 86 0
303 936 1
318 313 0
288 415 0
353 211 0
334 232 0
485 823 1
261 547 0
397 59 1
302 92 0
891 991 1
58 818 0
200 105 0
303 526 1
208 530 0
68 684 0
57 775 0
703 340 1
760 198 1
163 943 0
9 273 0
839 972 1
256 923 1
926 603 1
274 772 1
538 939 1
608 241 1
672 424 1
934 326 1
367 441 1
65 364 0
330 488 1
918 958 1
81 768 0
873 815 1
962 354 1
618 787 1
924 750 1
531 967 1
589 625 1
199 718 0
254 679 0
527 35 1
33 50 0
751 178 1
474 757 1
93 997 0
712 587 1
986 615 1
428 394 1
169 726 0
626 223 1
73 0 0
173 377 0
205 96 0
346 729 1
567 353 1
564 241 1
912 171 1
442 921 1
113 415 0
179 941 0
324 675 1
643 490 1
756 926 1
890 310 1
811 801 1
963 880 1
226 639 0
831 598 1
775 90 1
227 264 0
554 85 1
600 840 1
814 554 1
649 163 1
713 348 1
276 699 1
94 417 0
633 840 1
753 561 1
248 899 1
472 862 1
532 218 1
92 625 0
884 362 1
734 960 1
871 667 1
186 687 0
824 683 1
907 502 1
478 724 1
807 239 1
24 639 0
226 816 0
13 444 0
542 336 1
699 992 1
766 775 1
634 866 1
936 281 1
47 6 0
171 98 0
939 793 1
912 336 1
902 703 1
153 743 0
824 907 1
692 455 1
540 92 1
672 672 1
649 23 1
508 763 1
442 309 1
775 485 1
926 197 1
767 547 1
195 848 0
74 498 0
767 220 1
213 787 0
620 833 1
799 608 1
494 990 1
829 870 1
876 602 1
111 925 0
154 196 0
905 967 1
555 690 1
145 482 0
136 695 0
713 702 1
707 684 1
845 541 1
754 22 1
719 166 1
357 312 1
211 909 0
432 453 1
108 27 0
270 565 0
996 417 1
84 174 0
674 487 1
683 603 1
274 221 0
401 156 1
801 85 1
243 704 0
522 852 1
996 521 1
351 900 1
607 531 1
36 11 0
792 293 1
760 548 1
64 538 0
576 962 1
623 686 1
530 459 1
24 446 0
79 976 0
715 250 1
627 325 1
442 315 1
200 713 0
645 506 1
981 277 1
50 908 0
194 600 0
384 945 1
410 305 1
811 702 1
355 240 1
258 623 0
819 670 1
109 128 0
838 638 1
990 922 1
423 568 1
49 370 0
172 556 0
521 429 1
110 124 0
677 303 1
204 635 0
975 294 1
783 836 1
50 986 0
521 999 1
938 904 1
647 998 1
890 439 1
628 950 1
227 145 0
12 218 0
971 313 1
267 8 0
452 68 1
71 127 0
462 463 1
347 996 1
961 292 1
541 522 1
256 354 0
829 81 1
225 70 0
774 727 1
632 699 1
828 691 1
310 517 1
168 672 0
746 732 1
899 13 1
857 168 1
243 272 0
89 12 0
155 321 0
898 664 1
778 15 1
471 751 1
439 758 1
935 93 1
782 243 1
91 204 0
224 297 0
903 212 1
863 561 1
954 821 1
320 517 1
64 557 0
791 918 1
224 463 0
730 536 1
397 221 1
653 421 1
107 204 0
211 892 0
761 914 1
9 608 0
513 941 1
176 421 0
964 768 1
907 3 1
46 253 0
587 218 1
871 222 1
425 997 1
846 773 1
404 578 1
881 259 1
664 734 1
424 596 1
962 402 1
390 202 1
755 510 1
914 103 1
379 939 1
374 236 1
494 349 1
92 962 0
725 885 1
841 873 1
677 844 1
120 936 0
221 805 0
711 571 1
76 31 0
188 580 0
172 557 0
605 832 1
254 99 0
176 881 0
707 897 1
177 166 0
124 940 0
971 342 1
